status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617333902,"2021-04-02, 10:25:02",0.572,buy,10.5,,,0.004831905,close 0.579025,1617369858,"2021-04-02, 20:24:18",0.579025,0.06893059500000084,0.13,0.10698338700000083
close,1617333902,"2021-04-02, 10:25:02",0.441975,sell,13.6,,,0.004787207999999999,close 0.438825,1617369858,"2021-04-02, 20:24:18",0.438825,0.03805279199999999,0.13,0.10698338700000083
close,1617369723,"2021-04-02, 20:22:02",0.579175,buy,10.4,,,0.004859616,close 0.58885,1617380014,"2021-04-02, 23:13:33",0.58885,0.09576038400000016,0.14,0.09985130800000054
close,1617369723,"2021-04-02, 20:22:03",0.43935,sell,13.7,,,0.004814076,close 0.4387,1617380014,"2021-04-02, 23:13:34",0.4387,0.004090924000000385,0.14,0.09985130800000054
close,1617380008,"2021-04-02, 23:13:28",0.58865,buy,10.2,,,0.004859219999999999,close 0.605175,1617380886,"2021-04-02, 23:28:05",0.60275,0.13896077999999984,0.15,0.06562985199999961
close,1617380008,"2021-04-02, 23:13:28",0.4386,sell,13.7,,,0.004830928,close 0.4436,1617380886,"2021-04-02, 23:28:06",0.4436,-0.07333092800000023,0.15,0.06562985199999961
close,1617382127,"2021-04-02, 23:48:47",0.597725,buy,10.0,,,0.0047965,close 0.6017,1617396354,"2021-04-03, 03:45:54",0.601625,0.0342034999999997,0.15,0.11519786399999932
close,1617382128,"2021-04-02, 23:48:47",0.44775,sell,13.4,,,0.004765636,close 0.44135,1617396354,"2021-04-03, 03:45:54",0.44135,0.08099436399999961,0.15,0.11519786399999932
close,1617380912,"2021-04-02, 23:28:32",0.6044,buy,9.9,,,0.004814708000000001,close 0.612325,1617408042,"2021-04-03, 07:00:42",0.6123,0.07339529199999945,0.16,0.09966024699999991
close,1617380912,"2021-04-02, 23:28:32",0.443975,sell,13.5,,,0.004785045,close 0.441675,1617408042,"2021-04-03, 07:00:42",0.441675,0.026264955000000464,0.16,0.09966024699999991
