status,orderId,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1618547873,2021-04-16 04:37:53,0.6127,SHORT,9.8,,,0.004815112,"open:1.07494 sys1:[0.6127,0.61296]| close:1.08646 sys1:[0.61604,0.6161]",1618549934,2021-04-16 05:12:14,0.6161,-0.03813511199999979,1.075,0.007383431999999988
close,1618548341,2021-04-16 04:45:41,0.61546,SHORT,9.7,,,0.004780468,"open:1.08005 sys1:[0.61546,0.61555]| close:1.08646 sys1:[0.61604,0.6161]",1618549934,2021-04-16 05:12:14,0.6161,-0.01098846799999999,1.08,0.007708171999999538
close,1618547839,2021-04-16 04:37:19,1.7014,LONG,3.5,,,0.004771340000000001,"open:1.08494 sys0:[1.7011,1.7014]| close:1.09147 sys0:[1.7081,1.7082]",1618550028,2021-04-16 05:13:48,1.7081,0.018678659999999528,1.085,0.0072993595999994824
close,1618547839,2021-04-16 04:37:19,0.61615,SHORT,9.7,,,0.0047833004,"open:1.08494 sys1:[0.61615,0.61616]| close:1.09147 sys1:[0.61673,0.61683]",1618550028,2021-04-16 05:13:48,0.61683,-0.011379300400000045,1.085,0.0072993595999994824
close,1618547781,2021-04-16 04:36:21,1.7162,LONG,3.5,,,0.00479736,"open:1.09501 sys0:[1.716,1.7162]| close:1.09466 sys0:[1.7124,1.7125]",1618550172,2021-04-16 05:16:12,1.7124,-0.01809736000000009,1.095,0.007068343199999938
close,1618547781,2021-04-16 04:36:21,0.62095,SHORT,9.7,,,0.004807296799999999,"open:1.09501 sys1:[0.62095,0.62099]| close:1.09466 sys1:[0.61784,0.61786]",1618550172,2021-04-16 05:16:12,0.61786,0.025165703200000028,1.095,0.007068343199999938
close,1618552993,2021-04-16 06:03:13,1.6664,LONG,3.6,,,0.00480768,"open:1.05501 sys0:[1.6662,1.6664]| close:1.06076 sys0:[1.672,1.6721]",1618553202,2021-04-16 06:06:42,1.672,0.015352319999998846,1.055,0.007419239999997485
close,1618552993,2021-04-16 06:03:13,0.61118,SHORT,9.8,,,0.0047970800000000004,"open:1.05501 sys1:[0.61118,0.61119]| close:1.06076 sys1:[0.61134,0.6115]",1618553202,2021-04-16 06:06:42,0.6115,-0.00793308000000136,1.055,0.007419239999997485
close,1618552941,2021-04-16 06:02:21,1.6736,LONG,3.6,,,0.0048202720000000004,"open:1.06002 sys0:[1.6733,1.6736]| close:1.06254 sys0:[1.6738,1.6739]",1618553213,2021-04-16 06:06:53,1.6738,-0.0041002719999997245,1.06,0.007468295200000823
close,1618552941,2021-04-16 06:02:21,0.61326,SHORT,9.8,,,0.004797432799999999,"open:1.06002 sys1:[0.61326,0.61328]| close:1.06254 sys1:[0.61136,0.61159]",1618553213,2021-04-16 06:06:53,0.61159,0.011568567200000547,1.06,0.007468295200000823
close,1618552826,2021-04-16 06:00:26,1.6796,LONG,3.6,,,0.004830991999999999,"open:1.06499 sys0:[1.6795,1.6796]| close:1.0641 sys0:[1.6743,1.6746]",1618553249,2021-04-16 06:07:29,1.6743,-0.02391099200000065,1.065,0.008623730399998551
close,1618552826,2021-04-16 06:00:26,0.61434,SHORT,9.8,,,0.004803277600000001,"open:1.06499 sys1:[0.61434,0.61451]| close:1.0641 sys1:[0.6105,0.61053]",1618553249,2021-04-16 06:07:29,0.61053,0.0325347223999992,1.065,0.008623730399998551
close,1618553480,2021-04-16 06:11:20,1.6767,LONG,3.6,,,0.004851088,"open:1.06499 sys0:[1.6766,1.6767]| close:1.07916 sys0:[1.6952,1.6955]",1618553753,2021-04-16 06:15:53,1.6952,0.06174891200000021,1.065,0.008030741600001098
close,1618553480,2021-04-16 06:11:20,0.61138,SHORT,9.8,,,0.0048161704,"open:1.06499 sys1:[0.61138,0.61161]| close:1.07916 sys1:[0.61634,0.61637]",1618553753,2021-04-16 06:15:53,0.61637,-0.05371817039999911,1.065,0.008030741600001098
close,1618554115,2021-04-16 06:21:55,1.6649,LONG,3.6,,,0.004810992,"open:1.05497 sys0:[1.6648,1.6649]| close:1.06335 sys0:[1.6743,1.6746]",1618554344,2021-04-16 06:25:44,1.6743,0.029029007999999648,1.055,0.008072594399998963
close,1618554115,2021-04-16 06:21:55,0.60968,SHORT,9.8,,,0.004786413600000001,"open:1.05497 sys1:[0.60968,0.60983]| close:1.06335 sys1:[0.61125,0.61133]",1618554344,2021-04-16 06:25:44,0.61133,-0.020956413600000685,1.055,0.008072594399998963
close,1618554505,2021-04-16 06:28:25,1.6272,LONG,3.7,,,0.0048219560000000005,"open:1.02502 sys0:[1.6267,1.6272]| close:1.03025 sys0:[1.6297,1.6298]",1618554507,2021-04-16 06:28:27,1.6297,0.004428043999999758,1.025,0.018619163999999886
close,1618554505,2021-04-16 06:28:25,0.60162,SHORT,10.0,,,0.00480888,"open:1.02502 sys1:[0.60162,0.60168]| close:1.03025 sys1:[0.59955,0.59972]",1618554507,2021-04-16 06:28:27,0.59972,0.014191120000000128,1.025,0.018619163999999886
close,1618554514,2021-04-16 06:28:34,1.6259,LONG,3.7,,,0.004835128,"open:1.02497 sys0:[1.6258,1.6259]| close:1.03503 sys0:[1.6386,1.6387]",1618554704,2021-04-16 06:31:44,1.6386,0.042154872000000086,1.025,0.007239672000000072
