status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617598035,"2021-04-05, 11:47:15",0.72185,buy,8.3,,,0.004934156,close 0.763625,1617637739,"2021-04-05, 22:48:58",0.7633,0.33910084399999985,0.26,6.376400000046578e-05
close,1617598036,"2021-04-05, 11:47:15",0.4622,sell,13.0,,,0.00493708,close 0.4879,1617637739,"2021-04-05, 22:48:59",0.4879,-0.3390370799999994,0.26,6.376400000046578e-05
close,1617637512,"2021-04-05, 22:45:12",0.75235,buy,8.0,,,0.00485256,close 0.763625,1617637739,"2021-04-05, 22:48:58",0.7633,0.08274744000000012,0.27,0.010357455999999696
close,1617637512,"2021-04-05, 22:45:12",0.48245,sell,12.4,,,0.004809984000000001,close 0.4879,1617637739,"2021-04-05, 22:48:59",0.4879,-0.07238998400000042,0.27,0.010357455999999696
close,1617637816,"2021-04-05, 22:50:15",0.7613,buy,7.9,,,0.004830876,close 0.766125,1617637823,"2021-04-05, 22:50:23",0.7661,0.03308912400000062,0.275,0.01805228400000066
close,1617637816,"2021-04-05, 22:50:16",0.484425,sell,12.4,,,0.00480684,close 0.485175,1617637823,"2021-04-05, 22:50:23",0.48525,-0.015036839999999961,0.275,0.01805228400000066
close,1617638139,"2021-04-05, 22:55:38",0.758075,buy,7.9,,,0.004816768,close 0.765,1617638387,"2021-04-05, 22:59:47",0.7648,0.04831073199999955,0.27,0.02751300699999916
close,1617638139,"2021-04-05, 22:55:39",0.488075,sell,12.3,,,0.0048077250000000005,close 0.4893,1617638388,"2021-04-05, 22:59:47",0.489375,-0.02079772500000039,0.27,0.02751300699999916
close,1617637853,"2021-04-05, 22:50:53",0.765625,buy,7.8,,,0.004813616000000001,close 0.7773,1617638407,"2021-04-05, 23:00:07",0.7768,0.0823513840000006,0.28,0.011786148000000815
close,1617637853,"2021-04-05, 22:50:53",0.485675,sell,12.4,,,0.004845236,close 0.490975,1617638407,"2021-04-05, 23:00:07",0.490975,-0.07056523599999978,0.28,0.011786148000000815
close,1617638469,"2021-04-05, 23:01:09",0.7681,buy,7.8,,,0.004789686,close 0.766175,1617638728,"2021-04-05, 23:05:28",0.765925,-0.021754686000000786,0.275,0.06984863599999912
close,1617638469,"2021-04-05, 23:01:09",0.492875,sell,12.2,,,0.0047766779999999995,close 0.4849,1617638728,"2021-04-05, 23:05:28",0.484975,0.0916033219999999,0.275,0.06984863599999912
close,1617639273,"2021-04-05, 23:14:33",0.753675,buy,8.0,,,0.00484144,close 0.75955,1617639326,"2021-04-05, 23:15:26",0.759825,0.04435855999999991,0.27,0.038939160000000285
close,1617639273,"2021-04-05, 23:14:33",0.4837,sell,12.4,,,0.0047994,close 0.483425,1617639326,"2021-04-05, 23:15:26",0.48375,-0.0054193999999996205,0.27,0.038939160000000285
close,1617638880,"2021-04-05, 23:08:00",0.758975,buy,7.9,,,0.004818032,close 0.765225,1617639368,"2021-04-05, 23:16:08",0.7652,0.04435946800000076,0.275,0.03676907600000069
close,1617638881,"2021-04-05, 23:08:00",0.483725,sell,12.4,,,0.0048003920000000005,close 0.48395,1617639368,"2021-04-05, 23:16:08",0.48395,-0.007590392000000071,0.275,0.03676907600000069
close,1617639443,"2021-04-05, 23:17:23",0.758825,buy,7.9,,,0.0048297240000000005,close 0.768875,1617639726,"2021-04-05, 23:22:06",0.7689,0.07476277600000039,0.275,0.024994032000000346
close,1617639443,"2021-04-05, 23:17:23",0.484025,sell,12.4,,,0.004818744,close 0.48765,1617639727,"2021-04-05, 23:22:06",0.48765,-0.049768744000000045,0.275,0.024994032000000346
close,1617639364,"2021-04-05, 23:16:04",0.7639,buy,7.9,,,0.004857341,close 0.7739,1617639741,"2021-04-05, 23:22:21",0.774475,0.07868515900000007,0.28,0.019923315000000198
close,1617639364,"2021-04-05, 23:16:04",0.483925,sell,12.4,,,0.0048218440000000005,close 0.4882,1617639742,"2021-04-05, 23:22:21",0.488275,-0.058761843999999876,0.28,0.019923315000000198
close,1617640242,"2021-04-05, 23:30:42",0.8279,buy,7.2,,,0.004783792,close 0.83465,1617640249,"2021-04-05, 23:30:49",0.83465,0.04381620800000042,0.325,0.03812776200000134
